item,manchete,veiculo,ano,editoria,dados_abertos,lai,analise_dados,reportagem,link,imagem
1,A cada hora, 9 mulheres denunciam crime de stalking no Brasil,FOLHA DE S. PAULO,2024,seguranca_publica,0,1,0,1,https://www1.folha.uol.com.br/cotidiano/2024/03/a-cada-hora-9-mulheres-denunciam-crime-de-stalking-no-brasil.shtml,stalking.png
2,Novos registros de posse de armas caem 74% no governo Lula; total é o menor em 10 anos,FOLHA DE S. PAULO,2024,seguranca_publica,1,0,1,1,https://www1.folha.uol.com.br/cotidiano/2023/12/novos-registros-de-posse-de-armas-caem-74-no-governo-lula-total-e-o-menor-em-10-anos.shtml,armas.png
3,Brasil tem média de 40 casamentos de meninas a cada dia,FOLHA DE S. PAULO,2024,cotidiano,1,0,1,1,https://www1.folha.uol.com.br/cotidiano/2024/03/brasil-tem-media-de-40-casamentos-de-meninas-a-cada-dia.shtml,casamento_infantil.png
4,Brasil tem a Câmara dos Deputados mais desigual em gênero da América do Sul,FOLHA DE S. PAULO,2024,politica,1,0,1,1,https://www1.folha.uol.com.br/poder/2024/02/brasil-tem-a-camara-dos-deputados-mais-desigual-em-genero-da-america-do-sul.shtml,camara.png
5,Em 11 anos, letalidade policial cresce no centro e zona oeste e cai na zona leste de São Paulo,FOLHA DE S. PAULO,2024,seguranca_publica,1,0,1,0,https://www1.folha.uol.com.br/cotidiano/2024/03/em-11-anos-letalidade-policial-cresce-no-centro-e-zona-oeste-e-cai-na-zona-leste-de-sao-paulo.shtml,letalidade_policial.png
6,20% dos imóveis do centro de São Paulo estão desocupados, mostra Censo,FOLHA DE S. PAULO,2024,cotidiano,1,0,1,0,https://www1.folha.uol.com.br/cotidiano/2024/03/um-de-cada-cinco-imoveis-do-centro-de-sp-esta-desocupado-mostra-o-censo.shtml,centro_sp.png
7,Senadores fazem ‘rachadinha’ de salário e contratam até 82 assessores sem concurso público,O ESTADO DE S. PAULO,2023,politica,1,0,1,1,https://www.estadao.com.br/politica/senadores-incham-gabinetes-e-contratam-ate-82-assessores-sem-concurso-publico/,senadores.png
8,Governo Lula descumpre transparência e não divulga despesas com viagens,O ESTADO DE S. PAULO,2023,politica,0,1,0,1,https://www.estadao.com.br/politica/governo-descumpre-transparencia-e-nao-divulga-despesas-com-viagens/,gov_lula_transparencia.png
9,Ministros de Lula priorizam reuniões com parlamentares dos próprios partidos e visitas de cortesia,O ESTADO DE S. PAULO,2023,politica,1,0,1,1,https://www.estadao.com.br/politica/ministros-de-lula-priorizam-reunioes-com-parlamentares-de-seus-partidos/,ministros_luca.png
10,Diárias da equipe de Bolsonaro nos EUA custaram ao menos R$ 530 mil à União,O ESTADO DE S. PAULO,2023,politica,1,0,1,1,https://www.estadao.com.br/politica/diarias-da-equipe-de-bolsonaro-nos-eua-custaram-ao-menos-r-530-mil-a-uniao/,equipe_bolsonaro.png
11,Infratores ambientais priorizam doação de dinheiro para campanhas de partidos da base de Bolsonaro,O ESTADO DE S. PAULO,2022,politica,1,0,1,1,https://www.estadao.com.br/politica/infratores-ambientais-priorizam-doacao-de-dinheiro-para-campanhas-de-partidos-da-base-de-bolsonaro/,infratores_ambientais_campanha_eleitoral.png
12,Concessão de status de refugiado por opinião política bate recorde em 2021 no Brasil,O ESTADO DE S. PAULO,2022,politica,1,0,1,1,https://www.estadao.com.br/politica/reconhecimentos-de-refugio-em-2021-foi-o-maior-nos-ultimos-cinco-anos/,refugiados.png
